idade,estado_civil,nivel_educacao,num_dependentes,tipo_emprego,anos_emprego,renda_mensal,regiao,possui_imovel,possui_veiculo,valor_emprestimo,finalidade_emprestimo,score_credito,divida_total,inadimplencias,num_emprestimos_anteriores,historico_pagamento,tempo_conta_bancaria,num_contas_bancarias,num_cartoes_credito,aprovado
56,Casado,Superior,2,CLT,0,1535,Nordeste,1,0,12636,Negocio,708,4836,0,1,Excelente,1,3,2,1
69,Viuvo,Pos-Graduacao,1,Autonomo,0,8383,Centro-Oeste,1,0,45465,Veiculo,526,10212,0,1,Pessimo,12,2,0,1
46,Casado,Fundamental,2,Servidor_Publico,2,2233,Nordeste,0,0,28585,Negocio,760,36846,1,0,Excelente,6,2,2,1
32,Casado,Medio,0,Autonomo,13,1696,Nordeste,0,1,6533,Veiculo,662,10504,2,0,Pessimo,0,2,1,0
60,Casado,Superior,0,CLT,1,3951,Sudeste,0,0,38967,Saude,537,8983,0,0,Bom,2,1,0,1
25,Casado,Medio,3,Empresario,5,13720,Sudeste,0,1,18166,Veiculo,706,10237,0,2,Pessimo,4,2,2,1
38,Casado,Fundamental,2,Desempregado,1,7530,Nordeste,1,0,91747,Pessoal,597,3419,1,3,Regular,9,3,1,1
56,Casado,Superior,1,Autonomo,1,1550,Sudeste,1,0,19613,Educacao,425,16349,0,3,Regular,15,4,1,1
36,Viuvo,Superior,1,CLT,9,2195,Sul,0,1,18741,Veiculo,521,12166,0,6,Excelente,0,3,2,1
40,Solteiro,Medio,4,CLT,6,3876,Sudeste,1,1,91716,Casa,613,7746,0,4,Bom,10,1,1,1
28,Solteiro,Pos-Graduacao,2,CLT,0,18826,Sudeste,0,1,25530,Casa,609,11556,0,1,Regular,0,1,1,1
28,Solteiro,Medio,1,Autonomo,2,2797,Sul,1,1,68206,Saude,513,11244,3,1,Excelente,1,1,3,0
41,Casado,Superior,0,Servidor_Publico,0,2811,Sudeste,1,0,37778,Negocio,695,11265,3,4,Regular,0,1,0,1
70,Solteiro,Medio,0,CLT,3,12288,Sudeste,0,0,38185,Pessoal,671,21900,0,2,Ruim,0,2,1,1
53,Divorciado,Fundamental,5,CLT,5,5524,Sudeste,0,1,22131,Saude,476,3796,3,0,Excelente,0,1,1,0
57,Casado,Medio,1,Autonomo,0,9244,Sudeste,0,1,40205,Negocio,850,30067,0,2,Regular,0,2,1,1
41,Divorciado,Superior,1,CLT,1,3177,Sul,1,1,24216,Negocio,498,1631,2,7,Excelente,12,1,1,1
20,Casado,Superior,1,Desempregado,2,4624,Sul,1,1,14142,Pessoal,574,15707,0,3,Ruim,2,4,4,0
39,Solteiro,Medio,4,Servidor_Publico,12,10822,Centro-Oeste,0,0,24750,Veiculo,657,9583,1,0,Bom,3,3,2,1
70,Solteiro,Medio,2,Autonomo,24,4505,Nordeste,1,1,75377,Negocio,574,3093,0,5,Excelente,4,5,1,1
19,Casado,Superior,2,CLT,0,9641,Nordeste,1,0,41307,Pessoal,765,22676,0,6,Ruim,30,5,2,1
41,Solteiro,Medio,1,Empresario,7,6200,Nordeste,0,1,49749,Casa,602,1321,2,0,Bom,2,3,1,1
61,Divorciado,Medio,0,Autonomo,2,2633,Norte,0,0,26934,Veiculo,527,41160,0,4,Excelente,1,1,4,1
47,Divorciado,Pos-Graduacao,4,Servidor_Publico,2,4866,Nordeste,1,0,5708,Pessoal,681,77405,3,4,Regular,19,1,1,0
55,Casado,Superior,4,CLT,7,8855,Nordeste,0,1,10125,Educacao,330,6882,0,0,Ruim,5,1,4,1
19,Divorciado,Medio,4,CLT,12,7344,Norte,1,0,21349,Casa,673,2899,0,2,Regular,2,2,2,1
38,Casado,Superior,4,Autonomo,15,4797,Norte,1,1,10850,Saude,748,4547,2,1,Bom,2,2,3,1
50,Casado,Superior,3,Autonomo,4,1579,Sudeste,0,1,17685,Saude,389,21485,0,2,Bom,0,3,1,0
29,Casado,Superior,2,CLT,2,1673,Sul,1,1,17180,Educacao,579,5870,0,4,Pessimo,4,1,4,1
39,Solteiro,Superior,3,CLT,7,1900,Sul,0,1,17600,Veiculo,455,430,0,1,Regular,7,2,1,1
61,Casado,Superior,2,CLT,1,3618,Norte,1,0,84943,Casa,621,11889,0,1,Bom,3,1,5,1
42,Casado,Superior,0,Servidor_Publico,4,3919,Sul,0,0,25786,Negocio,844,19807,0,5,Ruim,12,3,1,1
66,Divorciado,Superior,1,CLT,2,2027,Nordeste,1,1,56825,Saude,642,13552,0,6,Excelente,3,1,2,1
44,Casado,Superior,5,Autonomo,5,9077,Sudeste,1,0,30673,Saude,598,15888,1,0,Bom,2,2,2,1
59,Solteiro,Superior,1,Autonomo,1,2302,Sudeste,0,1,83499,Casa,337,40316,1,5,Bom,1,2,2,0
45,Casado,Medio,3,Servidor_Publico,1,2159,Sudeste,0,1,60887,Casa,509,6558,3,0,Regular,1,2,1,0
33,Divorciado,Fundamental,0,CLT,12,5181,Norte,1,1,16760,Casa,606,45176,1,1,Regular,2,1,1,1
32,Viuvo,Pos-Graduacao,1,CLT,0,8816,Sudeste,1,1,129224,Educacao,629,6943,0,3,Ruim,28,4,1,1
64,Solteiro,Pos-Graduacao,1,CLT,3,16863,Sudeste,0,1,18701,Pessoal,654,25000,0,3,Bom,2,2,2,1
68,Casado,Superior,0,CLT,1,6971,Norte,1,1,31571,Veiculo,696,7027,0,2,Bom,4,2,5,1
61,Casado,Medio,0,Autonomo,0,12681,Nordeste,1,0,36374,Pessoal,529,62212,0,0,Bom,1,1,2,1
72,Solteiro,Medio,0,Autonomo,0,2375,Centro-Oeste,0,1,39762,Veiculo,624,15489,0,0,Ruim,0,3,3,1
69,Casado,Medio,3,Desempregado,0,17958,Sudeste,1,0,50865,Negocio,570,7360,1,5,Excelente,6,1,2,0
74,Solteiro,Superior,0,Autonomo,10,1608,Norte,0,1,14684,Pessoal,526,2441,2,0,Regular,4,1,2,0
20,Divorciado,Medio,0,CLT,1,3632,Norte,1,0,47565,Pessoal,532,9958,1,0,Bom,0,2,3,1
54,Casado,Superior,0,Autonomo,15,6880,Sul,0,1,42826,Negocio,674,3571,0,3,Bom,12,5,1,1
68,Casado,Superior,2,Empresario,4,1875,Sudeste,0,0,26913,Casa,363,12594,0,2,Excelente,4,1,1,1
24,Solteiro,Superior,2,Empresario,2,2817,Nordeste,0,0,23114,Veiculo,434,15661,1,1,Pessimo,2,1,1,0
38,Divorciado,Pos-Graduacao,2,Desempregado,4,2561,Nordeste,1,1,14094,Casa,850,22933,1,0,Excelente,9,3,2,1
26,Divorciado,Pos-Graduacao,1,Empresario,3,4080,Sudeste,0,0,39508,Educacao,553,13873,1,4,Excelente,0,3,0,1
56,Divorciado,Superior,0,CLT,7,11532,Sudeste,0,1,15861,Veiculo,766,8778,0,6,Bom,3,4,3,1
35,Casado,Medio,2,CLT,1,4964,Sul,1,1,32542,Negocio,613,30472,1,0,Regular,4,2,1,1
21,Casado,Pos-Graduacao,3,Autonomo,2,3722,Centro-Oeste,0,0,24808,Saude,563,34216,1,2,Pessimo,8,2,2,0
42,Solteiro,Medio,0,Servidor_Publico,11,870,Sudeste,0,0,9252,Educacao,685,2827,0,0,Bom,2,2,0,1
31,Solteiro,Medio,1,CLT,14,6503,Sul,1,1,12749,Pessoal,628,47196,0,3,Ruim,11,2,1,1
67,Solteiro,Superior,0,CLT,11,7895,Sudeste,0,1,37190,Casa,602,27696,1,1,Regular,7,5,0,1
26,Casado,Medio,0,Desempregado,2,1772,Centro-Oeste,1,0,17686,Pessoal,615,3452,0,2,Regular,8,2,0,1
43,Casado,Superior,2,Desempregado,7,4721,Sudeste,0,0,17210,Casa,659,1237,1,1,Bom,20,1,3,1
70,Casado,Medio,1,CLT,3,5518,Sudeste,1,0,14600,Educacao,551,27023,0,1,Bom,11,1,1,1
19,Casado,Superior,0,CLT,3,8767,Norte,0,1,15002,Pessoal,571,9959,0,4,Bom,2,5,3,1
